3, 1, 1
3, 2, 3
3, 3, 7
3, 4, 15
3, 5, 31
3, 6, 63
3, 7, 127
3, 8, 255
3, 9, 511
3, 10, 1023
3, 11, 2047
3, 12, 4095
3, 13, 8191
3, 14, 16383
3, 15, 32767
3, 16, 65535
3, 17, 131071
3, 18, 262143
3, 19, 524287
3, 20, 1048575
4, 1, 1
4, 2, 3
4, 3, 5
4, 4, 9
4, 5, 13
4, 6, 17
4, 7, 25
4, 8, 33
4, 9, 49
4, 10, 57
4, 11, 89
4, 12, 97
4, 13, 161
4, 14, 177
4, 15, 305
4, 16, 321
4, 17, 577
4, 18, 609
4, 19, 1121
4, 20, 1137
5, 1, 1
5, 2, 3
5, 3, 5
5, 4, 7
5, 5, 11
5, 6, 15
5, 7, 19
5, 8, 23
5, 9, 27
5, 10, 35
5, 11, 39
5, 12, 47
5, 13, 63
5, 14, 71
5, 15, 79
5, 16, 111
5, 17, 119
5, 18, 127
5, 19, 191
5, 20, 199
6, 1, 1
6, 2, 3
6, 3, 5
6, 4, 7
6, 5, 9
6, 6, 13
6, 7, 17
6, 8, 21
6, 9, 25
6, 10, 29
6, 11, 33
6, 12, 37
6, 13, 45
6, 14, 49
6, 15, 53
6, 16, 61
6, 17, 77
6, 18, 81
6, 19, 89
6, 20, 97
7, 1, 1
7, 2, 3
7, 3, 5
7, 4, 7
7, 5, 9
7, 6, 11
7, 7, 15
7, 8, 19
7, 9, 23
7, 10, 27
7, 11, 31
7, 12, 35
7, 13, 39
7, 14, 43
7, 15, 47
7, 16, 55
7, 17, 59
7, 18, 63
7, 19, 67
7, 20, 75
8, 1, 1
8, 2, 3
8, 3, 5
8, 4, 7
8, 5, 9
8, 6, 11
8, 7, 13
8, 8, 17
8, 9, 21
8, 10, 25
8, 11, 29
8, 12, 33
8, 13, 37
8, 14, 41
8, 15, 45
8, 16, 49
8, 17, 53
8, 18, 57
8, 19, 65
8, 20, 69
9, 1, 1
9, 2, 3
9, 3, 5
9, 4, 7
9, 5, 9
9, 6, 11
9, 7, 13
9, 8, 15
9, 9, 19
9, 10, 23
9, 11, 27
9, 12, 31
9, 13, 35
9, 14, 39
9, 15, 43
9, 16, 47
9, 17, 51
9, 18, 55
9, 19, 59
9, 20, 63
10, 1, 1
10, 2, 3
10, 3, 5
10, 4, 7
10, 5, 9
10, 6, 11
10, 7, 13
10, 8, 15
10, 9, 17
10, 10, 21
10, 11, 25
10, 12, 29
10, 13, 33
10, 14, 37
10, 15, 41
10, 16, 45
10, 17, 49
10, 18, 53
10, 19, 57
10, 20, 61
11, 1, 1
11, 2, 3
11, 3, 5
11, 4, 7
11, 5, 9
11, 6, 11
11, 7, 13
11, 8, 15
11, 9, 17
11, 10, 19
11, 11, 23
11, 12, 27
11, 13, 31
11, 14, 35
11, 15, 39
11, 16, 43
11, 17, 47
11, 18, 51
11, 19, 55
11, 20, 59
12, 1, 1
12, 2, 3
12, 3, 5
12, 4, 7
12, 5, 9
12, 6, 11
12, 7, 13
12, 8, 15
12, 9, 17
12, 10, 19
12, 11, 21
12, 12, 25
12, 13, 29
12, 14, 33
12, 15, 37
12, 16, 41
12, 17, 45
12, 18, 49
12, 19, 53
12, 20, 57
13, 1, 1
13, 2, 3
13, 3, 5
13, 4, 7
13, 5, 9
13, 6, 11
13, 7, 13
13, 8, 15
13, 9, 17
13, 10, 19
13, 11, 21
13, 12, 23
13, 13, 27
13, 14, 31
13, 15, 35
13, 16, 39
13, 17, 43
13, 18, 47
13, 19, 51
13, 20, 55
14, 1, 1
14, 2, 3
14, 3, 5
14, 4, 7
14, 5, 9
14, 6, 11
14, 7, 13
14, 8, 15
14, 9, 17
14, 10, 19
14, 11, 21
14, 12, 23
14, 13, 25
14, 14, 29
14, 15, 33
14, 16, 37
14, 17, 41
14, 18, 45
14, 19, 49
14, 20, 53
15, 1, 1
15, 2, 3
15, 3, 5
15, 4, 7
15, 5, 9
15, 6, 11
15, 7, 13
15, 8, 15
15, 9, 17
15, 10, 19
15, 11, 21
15, 12, 23
15, 13, 25
15, 14, 27
15, 15, 31
15, 16, 35
15, 17, 39
15, 18, 43
15, 19, 47
15, 20, 51
16, 1, 1
16, 2, 3
16, 3, 5
16, 4, 7
16, 5, 9
16, 6, 11
16, 7, 13
16, 8, 15
16, 9, 17
16, 10, 19
16, 11, 21
16, 12, 23
16, 13, 25
16, 14, 27
16, 15, 29
16, 16, 33
16, 17, 37
16, 18, 41
16, 19, 45
16, 20, 49
17, 1, 1
17, 2, 3
17, 3, 5
17, 4, 7
17, 5, 9
17, 6, 11
17, 7, 13
17, 8, 15
17, 9, 17
17, 10, 19
17, 11, 21
17, 12, 23
17, 13, 25
